# all-by-all of 100 genomes (n=100 seed=19)
# query	subject
AG-313-D08	AG-319-M14
AG-313-D08	AG-325-I09
AG-313-D08	AG-333-A04
AG-313-D08	AG-333-D08
AG-313-D08	AG-337-G21
AG-313-D08	AG-359-C09
AG-313-D08	AG-359-F04
AG-313-D08	AG-365-P03
AG-313-D08	AG-390-D05
AG-313-D08	AG-390-D15
AG-313-D08	AG-390-G23
AG-313-D08	AG-390-I17
AG-313-D08	AG-390-M02
AG-313-D08	AG-390-N04
AG-313-D08	AG-390-O04
AG-313-D08	AG-404-F06
AG-313-D08	AG-404-O18
AG-313-D08	AG-404-P20
AG-313-D08	AG-414-E06
AG-313-D08	AG-422-A21
AG-313-D08	AG-422-N14
AG-313-D08	AG-426-F10
AG-313-D08	AG-426-I10
AG-313-D08	AG-426-I21
AG-313-D08	AG-426-J10
AG-313-D08	AG-426-L19
AG-313-D08	AG-430-K19
AG-313-D08	AG-439-G19
AG-313-D08	AG-447-K09
AG-313-D08	AG-447-K11
AG-313-D08	AG-447-L07
AG-313-D08	AG-447-N08
AG-313-D08	AG-453-K22
AG-313-D08	AG-461-B21
AG-313-D08	AG-461-L09
AG-313-D08	AG-470-D16
AG-313-D08	AG-891-I18
AG-313-D08	AG-891-O15
AG-313-D08	AG-891-P20
AG-313-D08	AG-892-M06
AG-313-D08	AG-893-K09
AG-313-D08	AG-893-M20
AG-313-D08	AG-894-B07
AG-313-D08	AG-894-C10
AG-313-D08	AG-894-E10
AG-313-D08	AG-894-G18
AG-313-D08	AG-894-K14
AG-313-D08	AG-894-L17
AG-313-D08	AG-894-N05
AG-313-D08	AG-894-O04
AG-313-D08	AG-895-B19
AG-313-D08	AG-895-E07
AG-313-D08	AG-896-A16
AG-313-D08	AG-896-M10
AG-313-D08	AG-896-O18
AG-313-D08	AG-897-G09
AG-313-D08	AG-897-G15
AG-313-D08	AG-897-O11
AG-313-D08	AG-898-J17
AG-313-D08	AG-899-G02
AG-313-D08	AG-899-J02
AG-313-D08	AG-900-K16
AG-313-D08	AG-901-D23
AG-313-D08	AG-901-E23
AG-313-D08	AG-903-I23
AG-313-D08	AG-904-K03
AG-313-D08	AG-905-M05
