genome	role	n_contigs	n_genes	total_gene_bp	contig_bp	gene_frac_of_genome	n_mapped_genes	frac_genes_mapped	n_selected_pairs
AG-325-K03	query	47	1105	1007031	1069573	0.941526	573	0.518552	1
AG-325-L02	reference	20	1099	994482	1043497	0.953028	119	0.10828	1
AG-325-L05	reference	30	1116	986985	1042160	0.947057	168	0.150538	1
AG-333-A04	reference	37	1375	1241112	1317451	0.942056	309	0.224727	1
AG-337-C14	query	38	1171	1060419	1115346	0.950753	787	0.672075	1
AG-337-D17	query	27	1128	1004592	1061156	0.946696	203	0.179965	1
AG-337-E15	reference	30	1068	965775	1014038	0.952405	413	0.386704	1
AG-337-G04	query	52	581	503922	559964	0.899919	91	0.156627	1
AG-343-K02	query	34	997	918594	973691	0.943414	113	0.11334	1
AG-349-E20	reference	36	943	815130	864300	0.94311	829	0.879109	1
AG-349-L17	both	41	860	767028	817851	0.937858	504	0.586047	2
AG-349-O05	reference	37	715	631629	683928	0.923531	149	0.208392	1
AG-349-O13	query	24	996	896445	947620	0.945996	239	0.23996	1
AG-359-C09	reference	26	1185	1068456	1130529	0.945094	975	0.822785	1
AG-359-E10	query	36	1118	997530	1053650	0.946738	1045	0.934705	3
AG-359-G22	reference	36	1039	923655	979437	0.943047	155	0.149182	1
AG-359-I09	query	48	1010	878517	943213	0.931409	234	0.231683	1
AG-359-J18	reference	33	1184	1084647	1147298	0.945393	1044	0.881757	1
AG-359-O11	reference	28	1175	1083651	1140979	0.949755	707	0.601702	1
AG-390-A23	query	51	732	653382	735006	0.888948	237	0.32377	2
AG-390-C17	query	24	1354	1235043	1292976	0.955194	13	0.009601	1
AG-390-D18	reference	57	994	889557	959821	0.926795	214	0.215292	1
AG-390-G11	both	42	1332	1214262	1275792	0.951771	538	0.403904	2
AG-390-I15	query	33	1184	1071576	1137165	0.942322	112	0.094595	1
AG-390-L03	query	77	916	813024	893436	0.909997	38	0.041485	1
AG-390-M07	query	25	1168	1053588	1105900	0.952697	835	0.714897	1
AG-390-N04	reference	27	1325	1266399	1341067	0.944322	1131	0.853585	1
AG-410-K05	query	34	1166	1033512	1094908	0.943926	302	0.259005	1
AG-410-O02	reference	37	1199	1057011	1117333	0.946013	43	0.035863	1
AG-414-K15	reference	31	1084	989277	1047474	0.944441	535	0.493542	2
AG-414-L09	query	36	1068	963390	1018974	0.945451	915	0.856742	2
AG-414-O11	both	41	954	859569	920710	0.933594	889	0.931866	3
AG-422-B23	reference	30	946	851568	901930	0.944162	38	0.040169	1
AG-422-C13	reference	24	1100	966417	1012425	0.954557	328	0.298182	1
AG-422-E09	query	31	1199	1097802	1153212	0.951952	567	0.472894	1
AG-422-F15	query	21	1042	945894	993525	0.952059	127	0.121881	1
AG-422-G15	both	49	1055	925548	982076	0.94244	171	0.162085	2
AG-422-J20	reference	19	1034	937773	985842	0.951241	72	0.069632	1
AG-422-L15	both	12	1109	1001673	1039215	0.963875	148	0.133454	2
AG-422-N09	query	42	1034	925335	981361	0.94291	787	0.761122	1
AG-422-N14	query	40	1127	1004118	1069950	0.938472	135	0.119787	1
AG-426-E17	query	32	1084	1003383	1054256	0.951745	939	0.866236	2
AG-426-F11	both	42	1147	1032621	1098530	0.940003	1113	0.970357	3
AG-426-L23	both	48	788	713916	773736	0.922687	63	0.079949	2
AG-426-O21	query	44	1234	1196166	1288900	0.928052	1072	0.86872	1
AG-430-E20	both	49	1052	936336	997444	0.938735	802	0.762357	2
AG-430-F05	reference	41	1246	1244451	1325127	0.939118	1056	0.847512	1
AG-430-F16	reference	52	878	752088	808069	0.930723	572	0.651481	1
AG-430-K19	query	42	1117	982326	1044705	0.94029	14	0.012534	1
AG-430-O11	reference	42	1047	934461	984387	0.949282	673	0.642789	1
AG-439-C22	reference	38	1069	984006	1037669	0.948285	111	0.103835	1
AG-439-D05	reference	21	1239	1136349	1188734	0.955932	695	0.560936	1
AG-447-C06	reference	43	987	870384	925153	0.9408	201	0.203647	1
AG-447-K11	query	35	1281	1153908	1212869	0.951387	34	0.026542	1
AG-447-O14	query	39	1175	1063083	1119294	0.94978	675	0.574468	1
AG-453-B23	query	32	1261	1208220	1277880	0.945488	1137	0.901665	1
AG-453-K22	query	33	1031	923820	975459	0.947062	573	0.555771	1
AG-461-B13	reference	37	1131	1014408	1072723	0.945638	320	0.282935	1
AG-461-L09	query	30	1300	1188639	1244271	0.955289	136	0.104615	1
AG-461-M14	reference	49	1083	968973	1033838	0.937258	298	0.275162	2
AG-470-D16	query	35	1036	949497	1004165	0.945559	117	0.112934	1
AG-470-G21	reference	59	798	715170	787750	0.907864	518	0.649123	2
AG-470-O10	query	29	1184	1067466	1125476	0.948457	157	0.132601	1
AG-891-A05	query	39	1277	1161969	1217377	0.954486	419	0.328113	1
AG-891-E06	reference	12	1057	966429	1010560	0.95633	53	0.050142	1
AG-891-G05	reference	26	1333	1187346	1242034	0.955969	1263	0.947487	1
AG-891-I18	query	19	1451	1327458	1381610	0.960805	173	0.119228	1
AG-891-O15	query	24	1102	992031	1039309	0.95451	467	0.423775	1
AG-892-K05	query	23	1089	984702	1038353	0.948331	987	0.906336	1
AG-892-O03	reference	29	1043	951810	1004816	0.947248	157	0.150527	1
AG-893-E15	both	33	1408	1242468	1302677	0.953781	19	0.013494	2
AG-893-E21	reference	23	1366	1237251	1295593	0.954969	1072	0.784773	1
AG-893-E23	query	14	1491	1336401	1391503	0.960401	1265	0.848424	1
AG-893-F05	reference	41	1487	1371675	1450322	0.945773	1042	0.70074	1
AG-893-J08	both	17	1394	1285980	1337460	0.961509	995	0.713773	2
AG-893-K11	query	9	1287	1281900	1340558	0.956244	1163	0.903652	1
AG-893-L06	both	19	1073	969840	1016908	0.953715	772	0.719478	2
AG-893-L07	query	17	1352	1266165	1318445	0.960347	1291	0.954882	1
AG-893-N07	query	31	1294	1196727	1257574	0.951616	1043	0.806028	1
AG-894-A06	reference	23	1191	1157601	1222541	0.946881	1162	0.975651	1
AG-894-B06	reference	35	1285	1165056	1226025	0.950271	1138	0.885603	1
AG-894-I07	reference	54	1116	1024251	1106415	0.925739	807	0.723118	1
AG-894-M23	both	44	1099	977052	1042375	0.937333	776	0.706096	4
AG-894-P23	reference	42	1238	1121262	1183385	0.947504	495	0.399838	1
AG-895-F17	query	23	1262	1147239	1202919	0.953713	190	0.150555	1
