# query	subject	ANI%
AG-313-A04	AG-319-D07	70.0090178571428
AG-313-A04	AG-319-M14	72.3581962864721
AG-313-A04	AG-325-E20	75.1875790921595
AG-313-A04	AG-325-G21	71.6990196078431
AG-313-A04	AG-325-L02	72.067914691943
AG-313-A04	AG-325-L05	71.8480299251871
AG-313-A04	AG-333-D08	71.7839849624059
AG-313-A04	AG-337-F02	70.0214583333333
AG-313-A04	AG-337-G11	71.864296482412
AG-313-A04	AG-337-K15	69.2657746478873
AG-313-A04	AG-349-D08	77.3650159744408
AG-313-A04	AG-349-G20	69.8055263157894
AG-313-A04	AG-359-C09	72.1282168674698
AG-313-A04	AG-359-G22	71.9133776595745
AG-313-A04	AG-359-I09	72.1149591280654
AG-313-A04	AG-359-J18	71.767756232687
AG-313-A04	AG-359-N17	72.0434482758619
AG-313-A04	AG-359-O11	72.0302926829268
AG-313-A04	AG-365-P03	72.02707253886
AG-313-A04	AG-390-G23	72.0566738660907
AG-313-A04	AG-390-L20	69.3564935064935
AG-313-A04	AG-404-B04	71.5678987341772
AG-313-A04	AG-404-C23	75.3738202247191
AG-313-A04	AG-404-N21	70.5813274336283
AG-313-A04	AG-404-P08	70.0424242424242
AG-313-A04	AG-410-O02	71.9154892601432
AG-313-A04	AG-414-D07	74.472130637636
AG-313-A04	AG-414-E02	71.7884551148225
AG-313-A04	AG-414-E06	69.381037735849
AG-313-A04	AG-422-C13	72.2125581395349
AG-313-A04	AG-422-E02	69.5616379310344
AG-313-A04	AG-422-J16	69.6767826086956
AG-313-A04	AG-422-M03	69.8497619047619
AG-313-A04	AG-422-N03	68.9801923076923
AG-313-A04	AG-426-B11	71.9198756218905
AG-313-A04	AG-426-D09	72.0634703196347
AG-313-A04	AG-426-F20	69.422619047619
AG-313-A04	AG-426-I10	72.1397228637413
AG-313-A04	AG-426-L15	73.1680602636535
AG-313-A04	AG-426-L19	71.9261764705882
AG-313-A04	AG-426-M05	72.0931147540984
AG-313-A04	AG-426-O05	72.8266608695652
AG-313-A04	AG-426-P08	72.105079006772
AG-313-A04	AG-430-F03	72.9986372007366
AG-313-A04	AG-430-G14	75.0084532924962
AG-313-A04	AG-430-K14	71.5340229885057
AG-313-A04	AG-435-M21	72.7577505112474
AG-313-A04	AG-439-B12	72.0882407407407
AG-313-A04	AG-439-D15	70.8018691588784
AG-313-A04	AG-439-I19	71.9739066339066
AG-313-A04	AG-439-N16	83.2968181818181
